Date,Time,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
2009-01-122009-01-12,2:07:00 PM,0.97422,0.28934,294.38516,3.82598,0,0,1
2009-01-12,2:08:00 PM,1.578,0.34588,271.34984,6.20811,0,0,1
2009-01-12,2:09:00 PM,0.97599,0.45168,357.01635,9.325,0,0,5
2009-01-12,2:10:00 PM,2.02401,0.39867,313.73452,8.43338,0,0,3
2009-01-12,2:11:00 PM,3.33709,0.23178,254.50158,6.20837,0,0,0
2009-01-12,2:12:00 PM,0.94532,0,313.45245,4.33368,0,0,0
2009-01-12,2:13:00 PM,0.8581,0,279.55536,3.86048,0,0,0
2009-01-12,2:14:00 PM,1.00232,0,288.2193,3.97189,0,0,0
2009-01-12,2:15:00 PM,1.06174,0,273.5375,4.21151,0,0,0
2009-01-12,2:16:00 PM,0.97648,0,249.20388,3.84122,0,0,0
2009-01-12,2:17:00 PM,2.92273,0,288.30394,4.44354,0,0,0
2009-01-12,2:18:00 PM,1.15204,0,340.07139,5.49899,0,0,0
2009-01-12,2:19:00 PM,3.25871,0,328.90925,5.04706,0,0,0
2009-01-12,2:20:00 PM,1.4506,0,369.99393,5.68278,0,0,0
2009-01-12,2:21:00 PM,3.1954,0,357.34128,5.49355,0,0,0
2009-01-12,2:22:00 PM,3.40123,0,254.63872,4.12922,0,0,0
2009-01-12,2:23:00 PM,1.08751,0,290.38357,4.25038,0,0,0
2009-01-12,2:24:00 PM,0.54538,0.07685,304.24614,2.23109,0,0,0
2009-01-12,2:25:00 PM,2.78501,0.06596,290.32715,2.12021,0,0,0
2009-01-12,2:26:00 PM,0.45662,0.05608,246.96639,1.80246,0,0,0
2009-01-12,2:27:00 PM,1.26969,0.07582,334.52777,2.43716,0,0,0
2009-01-12,2:28:00 PM,2.41456,0.07205,318.19534,2.31574,0,0,0
2009-01-12,2:29:00 PM,1.2517,0.07411,326.59232,2.38205,0,0,0
2009-01-12,2:30:00 PM,3.34454,0.06571,279.59066,2.03932,0,0,0
2009-01-12,2:31:00 PM,1.33943,0.08156,347.3764,2.53108,0,0,0
2009-01-12,2:32:00 PM,3.95651,0.07673,338.45526,2.46628,0,0,0
2009-01-12,2:33:00 PM,1.13702,0.06414,293.92104,2.13804,0,0,0
2009-01-12,2:34:00 PM,3.81275,0.06685,295.19645,2.14871,0,0,0
2009-01-12,2:35:00 PM,1.1352,0,291.04332,2.35873,0,0,0
2009-01-12,2:36:00 PM,0.99436,0.08453,253.83455,2.26776,0,0,0
2009-01-12,2:37:00 PM,1.26849,0.1076,323.37883,2.88696,0,0,0
2009-01-12,2:38:00 PM,1.36986,0.11878,349.00134,3.11091,0,0,0
2009-01-12,2:39:00 PM,0.60775,0.09282,272.44761,2.43099,0,0,0
2009-01-12,2:40:00 PM,1.39449,0.12605,354.456,3.15123,0,0,0
2009-01-12,2:41:00 PM,0.58633,0.09102,261.6253,2.32838,0,0,0
2009-01-12,2:42:00 PM,1.03392,0.09505,260.24711,2.53477,0,0,0
2009-01-12,2:43:00 PM,-1.60671,0.26072,337.73755,3.5677,0,0,0
2009-01-12,2:44:00 PM,1.34685,0.26651,339.18428,3.57181,0,0,0
2009-01-12,2:45:00 PM,5.76727,0.24369,312.72585,3.3,0,0,0
2009-01-12,2:46:00 PM,0.67698,0.20881,270.42754,2.85736,0,0,0
2009-01-12,2:47:00 PM,2.09801,0.21886,283.11683,2.99497,0,0,0
2009-01-12,2:48:00 PM,2.28691,0.2394,309.59466,3.276,0,0,0
2009-01-12,2:49:00 PM,1.40666,0.28224,365.15786,3.86222,0,0,0
2009-01-12,2:50:00 PM,1.362,0.21154,271.23933,2.86466,0,0,0
2009-01-12,2:51:00 PM,0.6387,0.11077,290.25348,2.5925,0,0,0
2009-01-12,2:52:00 PM,0.55697,0.05635,267.54964,2.16718,0,0,0
2009-01-12,2:53:00 PM,0.74209,0.07478,355.47056,2.87632,0,0,0
2009-01-12,2:54:00 PM,0.54052,0.05405,256.82975,2.28681,0,0,0
2009-01-12,2:55:00 PM,1.28667,0.07453,366.4992,3.2791,0,0,0
2009-01-12,2:56:00 PM,0.63148,0,312.53286,2.53607,0,0,0
2009-01-12,2:57:00 PM,3.44311,0.07977,351.56478,2.56398,0,0,0
2009-01-12,2:58:00 PM,0.62121,0.07835,344.71817,2.51844,0,0,0
2009-01-12,2:59:00 PM,2.7678,0.05746,253.11116,1.84708,0,0,0
2009-01-12,3:00:00 PM,1.28065,0.05835,257.14529,1.8756,0,0,0
2009-01-12,3:01:00 PM,2.61009,0.0669,294.33898,2.15047,0,0,0
2009-01-12,3:02:00 PM,0.84239,0.06103,268.31268,1.96183,0,0,0
2009-01-12,3:03:00 PM,1.37742,0.05646,258.19309,1.88203,0,0,0
2009-01-12,3:04:00 PM,2.74918,0.07266,332.59702,2.42202,0,0,0
2009-01-12,3:05:00 PM,0.87301,0.06186,283.32443,2.06196,0,0,0
2009-01-12,3:06:00 PM,0.00606,0.06724,308.07222,2.24134,0,0,0
2009-01-12,3:07:00 PM,0.45957,0.05564,255.41037,1.85476,0,0,0
2009-01-12,3:08:00 PM,0.04111,0,276.33884,2.45923,0,0,0
2009-01-12,3:09:00 PM,0.75673,0.0992,348.90266,3.11761,0,1,0
2009-01-12,3:10:00 PM,1.52118,0.09294,318.7156,2.8398,0,1,0
2009-01-12,3:11:00 PM,0.9766,0.09142,314.01892,2.79354,0,3,0
2009-01-12,3:12:00 PM,2.88008,0.08254,290.90317,2.59398,0,1,0
2009-01-12,3:13:00 PM,1.11294,0.09792,354.12074,3.16809,0,1,0
2009-01-12,3:14:00 PM,0.93818,0.08477,298.26224,2.66425,0,2,0
2009-01-12,3:15:00 PM,1.24917,0.19196,319.4325,3.37228,0,1,0
2009-01-12,3:16:00 PM,1.9366,0.27561,320.13426,3.64011,0,3,0
2009-01-12,3:17:00 PM,0.83157,0.22537,261.7112,2.97653,0,1,0
2009-01-12,3:18:00 PM,0.99558,0.26906,312.62914,3.29978,0,3,0
2009-01-12,3:19:00 PM,1.61992,0.214,246.59,2.6,0,1,0
2009-01-12,3:20:00 PM,0.63,0.216,246.92,2.6,0,1,1
2009-01-12,3:21:00 PM,1.87588,0.212,246.54,2.6,0,2,1
2009-01-12,3:22:00 PM,0.624,0.214,246.83,2.6,0,1,0
2009-01-12,3:23:00 PM,3.40018,0.216,246.94,2.6,0,2,1
2009-01-12,3:24:00 PM,0.79195,0.218,247.28,2.6,0,1,1
