"","Date","Time","Global_active_power","Global_reactive_power","Voltage","Global_intensity","Sub_metering_1","Sub_metering_2","Sub_metering_3","Day"
"9001",2007-01-07,2019-11-03 06:00:00,0.34,0.15,247.13,1.6,0,0,0,0
"9002",2007-01-07,2019-11-03 06:01:00,0.5497,0.208,246.82,1.8,0,0,0,0
"9003",2007-01-07,2019-11-03 06:02:00,0.37,0.212,247.33,1.8,0,0,0,0
"9004",2007-01-07,2019-11-03 06:03:00,0.55065,0.21,246.97,1.8,0,0,0,0
"9005",2007-01-07,2019-11-03 06:04:00,0.364,0.208,246.82,1.8,0,0,0,0
"9006",2007-01-07,2019-11-03 06:05:00,0.362,0.206,246.5,1.6,0,0,0,0
"9007",2007-01-07,2019-11-03 06:06:00,0.36,0.206,246.48,1.6,0,0,0,0
"9008",2007-01-07,2019-11-03 06:07:00,0.356,0.202,245.71,1.6,0,0,0,0
"9009",2007-01-07,2019-11-03 06:08:00,0.354,0.2,245.55,1.6,0,0,0,0
"9010",2007-01-07,2019-11-03 06:09:00,0.55145,0.196,244.9,1.6,0,0,0,0
"9011",2007-01-07,2019-11-03 06:10:00,0.54975,0.194,244.5,1.6,0,0,0,0
"9012",2007-01-07,2019-11-03 06:11:00,0.548,0.196,244.75,1.6,0,0,0,0
"9013",2007-01-07,2019-11-03 06:12:00,0.428,0.286,245.71,2.2,0,0,0,0
"9014",2007-01-07,2019-11-03 06:13:00,0.428,0.308,245.56,2.2,0,0,0,0
"9015",2007-01-07,2019-11-03 06:14:00,0.55145,0.312,245.92,2.2,0,0,0,0
"9016",2007-01-07,2019-11-03 06:15:00,0.5521,0.19,246.09,1.6,0,0,0,0
"9017",2007-01-07,2019-11-03 06:16:00,0.334,0.172,246.44,1.6,0,0,0,0
"9018",2007-01-07,2019-11-03 06:17:00,0.5532,0.172,246.55,1.6,0,0,0,0
"9019",2007-01-07,2019-11-03 06:18:00,0.5552,0.17,246.18,1.6,0,0,0,0
"9020",2007-01-07,2019-11-03 06:19:00,0.55725,0.174,246.83,1.6,0,0,0,0
"9021",2007-01-07,2019-11-03 06:20:00,0.55815,0.108,247,1.2,0,0,0,0
"9022",2007-01-07,2019-11-03 06:21:00,0.258,0.066,246.96,1.2,0,0,0,0
"9023",2007-01-07,2019-11-03 06:22:00,0.5585,0.066,247.12,1.2,0,0,0,0
"9024",2007-01-07,2019-11-03 06:23:00,0.55865,0.066,246.91,1.2,0,0,0,0
"9025",2007-01-07,2019-11-03 06:24:00,0.256,0.06,245.85,1.2,0,0,0,0
"9026",2007-01-07,2019-11-03 06:25:00,0.5589,0.058,245.22,1.2,0,0,0,0
"9027",2007-01-07,2019-11-03 06:26:00,0.254,0.058,245.2,1.2,0,0,0,0
"9028",2007-01-07,2019-11-03 06:27:00,0.254,0.056,244.94,1.2,0,0,0,0
"9029",2007-01-07,2019-11-03 06:28:00,0.55905,0.054,244.85,1.2,0,0,0,0
"9030",2007-01-07,2019-11-03 06:29:00,0.55905,0.058,245.39,1.2,0,0,0,0
"9031",2007-01-07,2019-11-03 06:30:00,0.256,0.06,246.04,1.2,0,0,0,0
"9032",2007-01-07,2019-11-03 06:31:00,0.254,0.058,245.67,1.2,0,0,0,0
"9033",2007-01-07,2019-11-03 06:32:00,0.5592,0.056,245.04,1.2,0,0,0,0
"9034",2007-01-07,2019-11-03 06:33:00,0.5592,0.054,244.86,1.2,0,0,0,0
"9035",2007-01-07,2019-11-03 06:34:00,0.254,0.056,245.35,1.2,0,0,0,0
"9036",2007-01-07,2019-11-03 06:35:00,0.55935,0.056,245.04,1.2,0,0,0,0
"9037",2007-01-07,2019-11-03 06:36:00,0.5594,0.052,244.59,1.2,0,0,0,0
"9038",2007-01-07,2019-11-03 06:37:00,0.5594,0.052,244.67,1.2,0,0,0,0
"9039",2007-01-07,2019-11-03 06:38:00,0.252,0.056,245.14,1.2,0,0,0,0
"9040",2007-01-07,2019-11-03 06:39:00,0.254,0.056,245.17,1.2,0,0,0,0
"9041",2007-01-07,2019-11-03 06:40:00,0.5572,0.062,246.35,1.2,0,0,0,0
"9042",2007-01-07,2019-11-03 06:41:00,0.36,0.178,246.34,1.8,0,0,0,0
"9043",2007-01-07,2019-11-03 06:42:00,0.55675,0.2,246,1.6,0,0,0,0
"9044",2007-01-07,2019-11-03 06:43:00,0.362,0.202,246.32,1.6,0,0,0,0
"9045",2007-01-07,2019-11-03 06:44:00,0.408,0.206,247,1.8,0,0,0,0
"9046",2007-01-07,2019-11-03 06:45:00,0.5605,0.204,246.79,2,0,0,0,0
"9047",2007-01-07,2019-11-03 06:46:00,0.402,0.202,246.25,1.8,0,0,0,0
"9048",2007-01-07,2019-11-03 06:47:00,0.358,0.21,247.24,1.6,0,0,0,0
"9049",2007-01-07,2019-11-03 06:48:00,0.56165,0.21,247.27,1.6,0,0,0,0
"9050",2007-01-07,2019-11-03 06:49:00,0.356,0.212,247.52,1.6,0,0,0,0
"9051",2007-01-07,2019-11-03 06:50:00,0.56185,0.21,247.32,1.6,0,0,0,0
"9052",2007-01-07,2019-11-03 06:51:00,0.352,0.206,246.54,1.6,0,0,0,0
"9053",2007-01-07,2019-11-03 06:52:00,0.56245,0.336,246.23,2.4,0,0,0,0
"9054",2007-01-07,2019-11-03 06:53:00,0.434,0.332,246.17,2.2,0,2,0,0
"9055",2007-01-07,2019-11-03 06:54:00,0.462,0.358,247.19,2.4,0,1,0,0
"9056",2007-01-07,2019-11-03 06:55:00,0.56755,0.45,247.02,2.8,0,2,0,0
"9057",2007-01-07,2019-11-03 06:56:00,0.57,0.322,246.13,2.2,0,1,0,0
"9058",2007-01-07,2019-11-03 06:57:00,0.414,0.288,244.68,2,0,2,0,0
"9059",2007-01-07,2019-11-03 06:58:00,0.5741,0.286,244.6,2,0,1,0,0
"9060",2007-01-07,2019-11-03 06:59:00,0.5761,0.286,244.63,2,0,1,0,0
"9061",2007-01-07,2019-11-03 07:00:00,0.579,0.284,244.29,2,0,2,0,0
"9062",2007-01-07,2019-11-03 07:01:00,0.398,0.278,243.44,2,0,1,0,0
"9063",2007-01-07,2019-11-03 07:02:00,0.396,0.278,243.39,2,0,2,0,0
"9064",2007-01-07,2019-11-03 07:03:00,0.5884,0.21,242.92,1.8,0,1,0,0
"9065",2007-01-07,2019-11-03 07:04:00,0.33,0.17,243.35,1.6,0,2,0,0
"9066",2007-01-07,2019-11-03 07:05:00,0.33,0.172,243.69,1.6,0,1,0,0
"9067",2007-01-07,2019-11-03 07:06:00,0.59385,0.172,243.52,1.6,0,1,0,0
"9068",2007-01-07,2019-11-03 07:07:00,0.32,0.168,243.26,1.4,0,2,0,0
"9069",2007-01-07,2019-11-03 07:08:00,0.324,0.17,243.55,1.6,0,1,0,0
"9070",2007-01-07,2019-11-03 07:09:00,0.599,0.17,243.23,1.6,0,1,0,0
"9071",2007-01-07,2019-11-03 07:10:00,0.60065,0.168,242.92,1.4,0,2,0,0
"9072",2007-01-07,2019-11-03 07:11:00,0.322,0.168,243.03,1.4,0,1,0,0
"9073",2007-01-07,2019-11-03 07:12:00,0.6039,0.17,243.64,1.4,0,1,0,0
"9074",2007-01-07,2019-11-03 07:13:00,0.6055,0.17,243.23,1.4,0,2,0,0
"9075",2007-01-07,2019-11-03 07:14:00,0.32,0.166,242.46,1.4,0,1,0,0
"9076",2007-01-07,2019-11-03 07:15:00,0.60885,0.17,243.11,1.4,0,1,0,0
"9077",2007-01-07,2019-11-03 07:16:00,0.32,0.17,243.34,1.4,0,1,0,0
"9078",2007-01-07,2019-11-03 07:17:00,0.318,0.17,243.09,1.4,0,2,0,0
"9079",2007-01-07,2019-11-03 07:18:00,0.6137,0.168,243.11,1.4,0,1,0,0
"9080",2007-01-07,2019-11-03 07:19:00,0.6151,0.162,243.42,1.4,0,1,0,0
"9081",2007-01-07,2019-11-03 07:20:00,0.6149,0.048,243.66,1,0,0,0,0
